,Tempo,Memoria Utilizada (GB),Percentual Global de Processamento Utilizado,Latência REST API (ms),Latência couchdb0 (ms),Latência couchdb1 (ms),Latência couchdb2 (ms),Latência couchdb3 (ms),Latência peer0 (ms),Latência peer1 (ms),Latência peer2 (ms),Latência peer3 (ms)
0,0,4.3282928466796875,0.0,0.51,0.8,0.34,0.27,0.31,0.33,0.28,0.29,0.42
1,1,4.328639984130859,19.1,0.06,1.05,0.25,0.33,0.25,0.3,0.23,0.29,0.23
2,2,4.328639984130859,4.4,0.06,1.01,0.25,0.31,0.25,0.28,0.23,0.22,0.23
3,3,4.328521728515625,26.9,0.06,1.03,0.28,0.25,0.23,0.25,0.22,0.23,0.22
4,4,4.328521728515625,18.5,0.06,1.13,0.25,0.3,0.5,0.56,0.26,0.24,0.32
5,5,4.328521728515625,15.6,0.06,1.51,0.27,0.51,0.26,0.26,0.23,0.24,0.22
6,6,4.328758239746094,26.3,0.06,0.97,0.29,0.23,0.24,0.24,0.21,0.22,0.23
7,7,4.34844970703125,82.7,0.07,1.11,0.26,0.29,0.25,0.25,0.23,0.23,0.2
8,8,4.34844970703125,4.2,0.09,1.29,0.2,0.21,0.19,0.28,0.19,0.43,0.35
9,9,4.351310729980469,24.2,0.05,0.52,0.15,0.16,0.13,0.22,0.13,0.14,0.12
10,10,4.362041473388672,82.3,0.06,0.96,0.32,0.23,0.28,0.25,0.28,0.22,0.21
11,11,4.362026214599609,3.2,0.06,0.03,1.11,0.13,0.12,0.12,0.17,0.12,0.12
12,12,4.362144470214844,4.3,0.06,0.03,0.05,0.03,1.12,0.17,0.12,0.13,0.15
13,13,4.362144470214844,13.0,0.06,0.03,0.03,0.12,2.03,0.2,0.27,0.19,0.16
14,14,4.362144470214844,4.3,0.07,0.04,0.04,1.24,0.15,0.27,0.14,0.15,0.15
15,15,4.362129211425781,3.3,0.08,0.04,0.04,1.56,0.18,0.24,0.17,0.17,0.23
16,16,4.362129211425781,5.6,0.06,1.13,0.17,0.15,0.34,0.36,0.17,0.12,0.3
17,17,4.36224365234375,2.3,0.08,0.03,0.03,0.03,0.02,1.31,0.12,0.12,0.12
18,18,4.36224365234375,5.3,0.07,0.04,0.03,0.11,1.39,0.14,0.16,0.14,0.14
19,19,4.362361907958984,3.2,0.06,3.49,0.5,0.53,0.31,0.28,0.46,0.26,0.35
20,20,4.362361907958984,2.2,0.06,1.18,0.25,0.3,0.24,0.3,0.22,0.23,0.23
21,21,4.362480163574219,3.3,0.08,1.2,0.18,0.17,0.32,0.24,0.33,0.31,0.37
22,22,4.350978851318359,12.8,0.08,0.03,0.02,0.02,0.02,0.02,1.33,0.13,0.13
23,23,4.350933074951172,36.8,0.06,0.83,0.13,0.13,0.13,0.15,0.12,0.13,0.12
24,24,4.350921630859375,37.1,0.08,0.03,0.04,0.04,1.24,0.13,0.17,0.14,0.13
25,25,4.350917816162109,1.1,0.13,1.01,0.25,0.24,0.26,0.26,0.31,0.22,0.2
26,26,4.351154327392578,6.7,0.06,0.03,0.03,0.03,0.03,0.03,1.38,0.13,0.16
27,27,4.351146697998047,7.9,0.07,1.02,0.25,0.24,0.24,0.27,0.22,0.22,0.34
28,28,4.351264953613281,17.2,0.07,0.03,0.04,0.05,1.73,0.37,0.17,0.16,0.16
29,29,4.351261138916016,29.5,0.06,0.94,0.24,0.42,0.23,0.23,0.23,0.22,0.3
30,30,4.351261138916016,33.3,0.06,1.26,0.16,0.15,0.2,1.12,0.13,0.14,0.18
31,31,4.351375579833984,23.2,0.08,0.88,0.23,0.23,0.23,0.24,0.22,0.26,0.22
32,32,4.351253509521484,24.7,0.06,0.03,0.03,0.02,0.02,0.02,1.36,0.14,0.12
33,33,4.351249694824219,15.1,0.06,1.12,0.37,0.25,0.29,0.24,0.21,0.21,0.21
34,34,4.351249694824219,40.4,0.08,0.32,0.13,0.13,0.14,0.13,0.14,0.19,0.13
35,35,4.351249694824219,3.3,0.09,1.43,0.3,0.23,0.4,0.22,0.22,0.22,0.25
36,36,4.3513641357421875,2.2,0.06,0.98,0.14,0.13,0.13,0.18,0.13,0.13,0.29
37,37,4.3513641357421875,81.4,0.44,0.3,0.28,0.23,0.71,0.3,0.22,0.23,0.22
