,Tempo,Memoria Utilizada (GB),Percentual Global de Processamento Utilizado,Latencia REST API (ms),Latencia couchdb0 (ms),Latencia couchdb1 (ms),Latencia couchdb2 (ms),Latencia couchdb3 (ms),Latencia peer0 (ms),Latencia peer1 (ms),Latencia peer2 (ms),Latencia peer3 (ms)
0,0,4.513763427734375,0.0,0.24,0.29,0.24,0.23,0.23,0.4,0.22,0.22,0.23
1,1,4.514198303222656,53.8,0.05,0.03,0.02,0.02,0.02,0.02,0.02,1.16,0.03
2,2,4.518119812011719,100.0,0.05,0.82,0.23,0.22,0.23,0.23,0.21,0.33,0.21
3,3,4.514324188232422,74.5,0.05,0.03,0.02,0.02,0.02,0.02,0.03,1.33,0.03
4,4,4.514366149902344,53.6,0.09,1.02,0.25,0.25,0.22,0.25,0.23,0.23,0.28
5,5,4.514484405517578,17.0,0.06,0.74,0.24,0.29,0.25,0.29,0.23,0.22,0.24
6,6,4.514514923095703,73.0,0.05,2.18,0.33,0.32,0.31,0.12,0.13,0.19,0.12
7,7,4.502002716064453,100.0,0.05,0.89,0.22,0.22,0.21,0.27,0.22,0.21,0.21
8,8,4.500858306884766,54.2,0.04,0.03,0.02,0.02,0.02,0.02,0.03,1.09,0.03
9,9,4.503211975097656,100.0,0.05,0.81,0.33,0.22,0.22,0.22,0.27,0.22,0.2
10,10,4.502311706542969,63.3,0.05,3.55,0.14,0.13,0.18,0.89,0.13,0.12,0.12
11,11,4.503124237060547,65.0,0.09,1.47,0.37,0.5,0.42,0.39,0.35,0.61,0.47
12,12,4.503120422363281,6.6,0.06,1.05,0.31,0.26,0.51,0.24,0.29,0.23,0.29
13,13,4.502887725830078,47.4,0.06,0.03,0.02,0.02,0.02,0.02,0.02,1.49,0.16
14,14,4.506595611572266,100.0,0.06,1.67,0.25,0.23,0.23,0.25,0.22,0.28,0.22
15,15,4.502773284912109,69.4,0.31,0.03,0.04,0.36,0.02,0.02,0.02,0.5,0.02
16,16,4.502693176269531,100.0,0.05,0.03,0.03,0.02,0.02,0.02,0.06,1.57,0.03
17,17,4.504779815673828,61.9,1.26,0.7,0.82,0.42,0.41,0.31,1.46,0.33,0.24
18,18,4.504310607910156,60.8,0.07,0.05,1.13,0.16,0.22,0.17,0.15,0.17,0.16
19,19,4.504310607910156,12.0,1.81,1.25,0.56,1.32,0.28,0.37,0.32,0.39,0.23
20,20,4.504737854003906,37.1,0.05,0.02,0.02,0.02,0.02,0.02,0.05,1.3,0.03
21,21,4.511165618896484,100.0,0.06,0.85,0.27,0.23,0.23,0.23,0.2,0.22,0.25
22,22,4.5085296630859375,56.1,0.06,0.03,0.02,0.02,0.02,0.02,0.02,1.21,0.03
23,23,4.508598327636719,100.0,0.05,0.03,0.02,0.02,0.02,0.02,0.03,1.14,0.03
24,24,4.508720397949219,69.1,0.07,0.04,0.04,0.03,1.32,0.16,0.15,0.15,0.15
25,25,4.484416961669922,59.2,0.17,0.89,0.24,0.39,0.23,0.33,0.21,0.3,0.22
26,26,4.484416961669922,6.6,0.13,1.21,0.21,0.2,0.2,0.38,0.22,0.56,0.54
27,27,4.485248565673828,28.4,0.05,0.03,0.02,0.02,0.02,0.02,0.05,1.1,0.03
28,28,4.487438201904297,100.0,0.05,0.83,0.23,0.23,0.23,0.24,0.22,0.22,0.27
29,29,4.4859161376953125,54.2,0.33,0.03,0.05,0.02,0.5,0.03,0.02,0.02,0.02
30,30,4.484691619873047,100.0,0.05,0.03,0.02,0.02,0.02,0.02,0.95,0.03,0.02
31,31,4.48480224609375,61.5,0.09,1.35,0.23,0.23,0.23,0.22,0.52,0.57,0.43
32,32,4.484508514404297,54.6,0.11,1.06,0.37,0.27,0.28,0.25,0.56,0.66,0.78
33,33,4.484508514404297,16.0,0.11,2.93,0.63,0.57,0.42,0.41,0.5,0.45,0.31
34,34,4.484580993652344,46.3,0.06,0.03,0.02,0.02,0.02,0.02,0.05,1.15,0.03
35,35,4.4871978759765625,100.0,0.05,0.85,0.24,0.24,0.33,0.23,0.29,0.21,0.22
36,36,4.484394073486328,56.1,0.05,0.03,0.02,0.02,0.03,0.71,0.03,0.02,0.02
37,37,4.488250732421875,100.0,0.05,0.84,0.25,0.29,0.23,0.25,0.22,0.22,0.3
38,38,4.483600616455078,53.7,0.05,0.02,0.02,0.02,0.02,0.02,0.04,1.09,0.03
39,39,4.487327575683594,48.9,0.07,1.66,0.48,0.43,0.3,0.4,0.29,0.38,0.28
40,40,4.487438201904297,8.8,0.06,0.03,0.03,0.03,0.02,1.22,0.13,0.13,0.12
